Timestamp,City Name,Latitude,Longitude,FIR No.,Crime Type,Date Crime,Time Crime,Gender,Age,SafetyIndex
2019/12/10 3:41:08 PM GMT+5:30,Vile Parle,19.100817,72.851055,563,Theft,19-11-2019,01:04,Male,29,3.1
2019/12/10 3:42:13 PM GMT+5:30,Byculla,18.984123,72.838407,546,Theft,19-11-2019,07:30,Male,33,3
2019/12/10 3:43:26 PM GMT+5:30,Vile Parle,19.098779,72.850463,562,Theft,17-11-2019,05:14,Male,27,3
2019/12/10 3:44:07 PM GMT+5:30,Dadar,19.014458,72.845803,385,Theft,17-11-2019,14:10,Female,58,3
2019/12/10 3:45:44 PM GMT+5:30,Dadar,19.017633,72.848196,384,Robbery,14-11-2019,00:00,Male,26,3
2019/12/10 3:47:31 PM GMT+5:30,Dadar,19.02099,72.842349,355,Robbery,26-10-2019,07:30,Male,28,3
2019/12/10 3:49:11 PM GMT+5:30,Dadar,19.023242,72.842049,352,Robbery,22-10-2019,16:30,Female,66,3
2019/12/10 3:51:21 PM GMT+5:30,Juhu,19.093478,72.83478,587,Theft,27-11-2019,20:30,Male,19,3.5
2019/12/10 3:52:54 PM GMT+5:30,Juhu,19.093255,72.834008,568,Theft,17-11-2019,00:47,Male,53,3.5
2019/12/10 3:54:45 PM GMT+5:30,Juhu,19.11059,72.824909,529,Robbery,14-10-2019,23:08,Male,35,3.5
2019/12/10 3:56:20 PM GMT+5:30,Juhu,19.113205,72.824373,523,Theft,12-10-2019,23:15,Male,46,3.5
2019/12/10 3:58:04 PM GMT+5:30,Juhu,19.116652,72.826771,494,Theft,03-10-2019,22:00,Male,40,3.5
2019/12/10 3:59:55 PM GMT+5:30,Juhu,19.105562,72.826797,462,Robbery,19-12-2019,12:30,Male,73,3.5
2019/12/10 4:01:16 PM GMT+5:30,Juhu,19.108056,72.826443,459,Theft,18-09-2019,00:15,Male,19,3.5
2019/12/10 4:03:11 PM GMT+5:30,Juhu,19.110327,72.828996,455,Theft,13-09-2019,21:20,Male,56,3.5
2019/12/10 4:04:40 PM GMT+5:30,Juhu,19.087394,72.827312,447,Theft,06-09-2019,23:45,Male,28,3.5
2019/12/10 4:06:29 PM GMT+5:30,Kurla,19.081809,72.881747,646,Murder,18-11-2019,16:20,Male,20,2.6
2019/12/10 4:08:08 PM GMT+5:30,Kurla,19.080024,72.88003,639,Murder,15-11-2019,00:10,Male,34,2.6
2019/12/10 4:09:33 PM GMT+5:30,Kurla,19.080855,72.881178,638,Murder,14-11-2019,00:00,Male,21,2.6
2019/12/10 4:11:03 PM GMT+5:30,Kurla,19.06518,19.06518,624,Robbery,04-11-2019,22:30,Male,36,2.6
2019/12/10 4:12:39 PM GMT+5:30,Kurla,19.06518,72.880545,621,Theft,01-11-2019,15:00,Male,21,2.6
2019/12/10 4:14:37 PM GMT+5:30,Kurla,19.062259,72.872134,535,Murder,16-09-2019,21:00,Female,22,2.6
2019/12/10 7:28:30 PM GMT+5:30,Wadala,19.014959,72.862068,416,Theft,27-11-2019,01:25,Male,39,3.2
2019/12/10 7:29:52 PM GMT+5:30,Wadala,19.012618,72.861458,381,Theft,21-10-2019,17:45,Female,23,3.2
2019/12/10 7:31:05 PM GMT+5:30,Wadala,19.012489,72.858517,380,Robbery,19-10-2019,11:36,Male,32,3.2
2019/12/10 7:32:30 PM GMT+5:30,Wadala,19.013451,72.853499,379,Theft,19-10-2019,11:30,Female,33,3.2
2019/12/10 7:35:11 PM GMT+5:30,Wadala,19.036153,72.878095,621,Robbery,26-11-2019,02:34,Male,73,3.2
2019/12/10 7:36:46 PM GMT+5:30,Wadala,19.034992,72.876035,606,Murder,17-11-2019,16:00,Male,19,3.2
2019/12/10 7:38:08 PM GMT+5:30,Wadala,19.033999,72.878134,594,Theft,10-11-2019,15:05,Female,31,3.2
2019/12/10 7:39:23 PM GMT+5:30,Wadala,19.034014,72.874365,591,Theft,07-11-2019,23:48,Male,38,3.2
2019/12/11 7:45:43 PM GMT+5:30,Mulund,19.174673,72.943108,652,Murder,07-11-2019,23:45,Male,39,2.3
2019/12/11 7:52:08 PM GMT+5:30,Mulund,19.176048,72.943154,641,Theft,04-11-2019,13:19,Male,58,3
2019/12/11 7:55:04 PM GMT+5:30,Mulund,19.177669,72.940922,640,Theft,04-11-2019,03:00,Male,34,3
2019/12/11 7:57:26 PM GMT+5:30,Mulund,19.167049,72.947188,636,Murder,04-11-2019,00:05,Male,49,2.1
2019/12/11 7:59:51 PM GMT+5:30,Mulund,19.172643,72.935429,611,Murder,16-10-2019,13:20,Male,27,1.9
2019/12/11 8:02:05 PM GMT+5:30,Mulund,19.178966,72.944956,593,Robbery,10-10-2019,15:56,Female,57,3
2019/12/11 8:03:48 PM GMT+5:30,Mulund,19.168103,72.961865,588,Theft,10-10-2019,11:29,Female,35,3
2019/12/11 8:06:31 PM GMT+5:30,Mulund,19.157579,72.952821,553,Murder,27-09-2019,13:27,Male,26,2.4
2019/12/11 8:08:34 PM GMT+5:30,Mulund,19.158207,72.950965,552,Robbery,26-09-2019,16:35,Male,29,3
2019/12/11 8:12:04 PM GMT+5:30,Powai,19.116138,72.90728,895,Theft,25-11-2019,21:44,Male,56,3
2019/12/11 8:14:03 PM GMT+5:30,Powai,19.123761,72.91243,892,Robbery,25-11-2019,00:05,Female,15,3
2019/12/11 8:15:48 PM GMT+5:30,Powai,19.110623,72.895092,871,Theft,19-11-2019,00:26,Male,27,3
2019/12/11 8:17:30 PM GMT+5:30,Powai,19.108839,72.890114,869,Robbery,16-11-2019,17:26,Female,30,3
2019/12/11 8:19:07 PM GMT+5:30,Powai,19.120111,72.891916,823,Theft,06-11-2019,00:23,Male,25,3
2019/12/11 8:20:56 PM GMT+5:30,Powai,19.109406,72.889255,819,Theft,05-11-2019,03:31,Male,30,3
2019/12/11 8:23:29 PM GMT+5:30,Powai,19.135194,72.903675,813,Robbery,04-11-2019,13:17,Male,33,3
2019/12/11 8:25:05 PM GMT+5:30,Powai,19.107784,72.907623,812,Theft,02-11-2019,12:03,Female,30,3
